reference	RNA_GMP_Ven_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_A	RNA_GMP_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_Ven_B	RNA_HSC_vehicle_A	RNA_HSC_vehicle_B
Sirpb1a	5.0	13.0	5.0	3.0	14.0	27.0	31.0	1.0
Sirpb1b	26.0	46.0	21.0	24.0	77.0	56.0	71.0	17.0
Sirpb1c	96.0	132.0	108.0	92.0	271.0	129.0	192.0	75.0
Sirt1	904.0	725.0	759.0	698.0	370.0	881.0	811.0	191.0
Sirt2	939.0	706.0	651.0	660.0	209.0	135.0	724.0	279.0
Sirt3	588.0	447.0	516.0	433.0	250.0	257.0	631.0	295.0
Sirt4	165.0	133.0	112.0	122.0	54.0	98.0	122.0	42.0
Sirt5	130.0	109.0	107.0	144.0	111.0	85.0	114.0	55.0
Sirt6	163.0	140.0	98.0	105.0	40.0	30.0	106.0	44.0
Sirt7	2964.0	2461.0	2345.0	2182.0	1372.0	1712.0	2553.0	1048.0
Sis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sit1	3.0	10.0	1.0	1.0	4.0	5.0	6.0	5.0
Siva1	1228.0	1342.0	1318.0	1113.0	4597.0	3873.0	1268.0	750.0
Six1	33.0	33.0	19.0	47.0	55.0	162.0	65.0	6.0
Six2	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Six3	1.0	2.0	0.0	1.0	4.0	3.0	2.0	0.0
Six4	1.0	9.0	2.0	7.0	8.0	28.0	6.0	1.0
Six5	17.0	8.0	3.0	8.0	1.0	7.0	13.0	2.0
Six6	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Ska1	939.0	904.0	807.0	696.0	808.0	628.0	599.0	299.0
Ska2	1520.0	1404.0	1243.0	1013.0	570.0	821.0	1004.0	306.0
Ska3	1272.0	1147.0	1037.0	977.0	370.0	447.0	719.0	247.0
Skap1	12.0	7.0	6.0	2.0	0.0	2.0	20.0	14.0
Skap2	7313.0	7647.0	6555.0	7012.0	2533.0	3944.0	5557.0	2027.0
Ski	615.0	558.0	708.0	528.0	155.0	189.0	532.0	99.0
Skida1	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Skil	428.0	325.0	372.0	336.0	183.0	235.0	368.0	67.0
Skint1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint11	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Skint2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint3	1.0	5.0	5.0	5.0	13.0	46.0	5.0	3.0
Skint4	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Skint5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skiv2l	1878.0	1260.0	1346.0	1410.0	427.0	780.0	1396.0	312.0
Skor1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Skor2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skp1a	6291.0	6650.0	6870.0	5393.0	4911.0	4128.0	6008.0	2843.0
Skp2	1286.0	1108.0	1288.0	1016.0	172.0	369.0	1009.0	164.0
Sla	6266.0	4714.0	5156.0	4258.0	1601.0	1582.0	5825.0	1603.0
Sla2	74.0	84.0	83.0	56.0	164.0	162.0	75.0	41.0
Slain1	12.0	6.0	7.0	3.0	0.0	2.0	8.0	5.0
Slain2	3197.0	2484.0	2348.0	2184.0	536.0	765.0	2010.0	371.0
Slamf1	7.0	3.0	5.0	8.0	0.0	0.0	8.0	2.0
Slamf6	12.0	10.0	12.0	9.0	0.0	7.0	32.0	5.0
Slamf7	15.0	25.0	21.0	3.0	4.0	19.0	25.0	5.0
Slamf8	1.0	1.0	4.0	4.0	1.0	18.0	4.0	1.0
Slamf9	10.0	29.0	20.0	30.0	30.0	10.0	5.0	11.0
Slbp	10053.0	8909.0	9239.0	7298.0	3870.0	6422.0	8455.0	3091.0
Slc10a1	1.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0
Slc10a2	4.0	5.0	0.0	4.0	9.0	18.0	6.0	0.0
Slc10a3	819.0	654.0	569.0	591.0	73.0	48.0	481.0	124.0
Slc10a4	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0
Slc10a5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc10a6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc10a7	1138.0	1014.0	976.0	988.0	300.0	573.0	851.0	156.0
Slc11a1	311.0	296.0	318.0	268.0	137.0	60.0	258.0	41.0
Slc11a2	334.0	330.0	324.0	280.0	105.0	132.0	355.0	57.0
Slc12a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc12a2	0.0	6.0	6.0	5.0	2.0	24.0	6.0	6.0
Slc12a3	0.0	1.0	1.0	0.0	6.0	13.0	0.0	1.0
Slc12a4	247.0	193.0	206.0	204.0	48.0	114.0	218.0	61.0
Slc12a5	50.0	44.0	23.0	48.0	11.0	15.0	23.0	5.0
Slc12a6	1790.0	1174.0	1148.0	1065.0	554.0	1223.0	1254.0	295.0
Slc12a7	237.0	154.0	173.0	178.0	27.0	128.0	196.0	19.0
Slc12a8	0.0	2.0	0.0	0.0	1.0	1.0	1.0	0.0
Slc12a9	373.0	235.0	246.0	231.0	179.0	342.0	348.0	81.0
Slc13a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
