"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"1810058I24Rik",663.258838449673,-5.15152057075123e-07,0.00144265817913784,0.918796781843569,0.999804568916862
"2010315B03Rik",360.341961353381,2.8182290817105e-06,0.00144267589268344,0.465632947419556,0.999804568916862
"2210016F16Rik",1738.50327364089,-3.27333302337e-06,0.00144263907068655,0.61103830834247,0.999804568916862
"2210016L21Rik",371.613686597472,-1.74280247568637e-06,0.00144266537613162,0.707291307947648,0.999804568916862
"2310009A05Rik",164.18699770872,-2.36293106508073e-06,0.00144267877324774,0.52698084334786,0.999804568916862
"2310022A10Rik",482.638719212363,1.86189687147114e-06,0.00144266562882769,0.690676626612782,0.999804568916862
"2310022B05Rik",278.708111307005,-1.15320214632103e-06,0.0014426728922192,0.771393639108696,0.999804568916862
"2310033P09Rik",262.909141317283,-7.18591458463813e-07,0.00144267204915528,0.85847729689812,0.999804568916862
"2310057M21Rik",377.839321796293,-1.33957204506497e-06,0.00144266502576668,0.772977231116283,0.999804568916862
"2310061I04Rik",165.326498680223,-4.41283269815875e-06,0.00144268113515557,0.211353750619791,0.999804568916862
"2410002F23Rik",1203.46409996272,3.2474614782467e-06,0.00144264501413915,0.597014489155423,0.999804568916862
"2410004B18Rik",400.641440030596,-1.92697263046164e-06,0.0014426708921592,0.64705334860899,0.999804568916862
"2510039O18Rik",1870.45112155048,-9.78952593582577e-07,0.00144264284103996,0.871909218122828,0.999804568916862
"2610001J05Rik",2019.79572241429,1.08733501313181e-06,0.00144265120182073,0.848726173240997,0.999804568916862
"2610002M06Rik",830.142296159786,5.62632350097861e-06,0.00144265046590222,0.185148366113087,0.999804568916862
"2610008E11Rik",362.537959397363,3.19705162664387e-06,0.00144266665677412,0.494559287685532,0.999804568916862
"2610021A01Rik",500.45236942381,-1.08019588546389e-06,0.00144266725103745,0.808320749704212,0.999804568916862
"2610507B11Rik",3617.77441840607,3.10272057152843e-06,0.00144263614738937,0.461419525066636,0.999804568916862
"2700049A03Rik",710.767368555642,3.09151963994875e-06,0.00144265217320297,0.586753132231774,0.999804568916862
"2700097O09Rik",215.83266941388,-1.2150099163052e-06,0.00144267890174665,0.72204842033156,0.999804568916862
"2810004N23Rik",1086.24657503947,-5.12124863331711e-06,0.00144264856916916,0.397678747386494,0.999804568916862
"2810006K23Rik",482.875355067623,7.62836631775671e-08,0.00144266182308321,0.98918985955453,0.999804568916862
"3110009E18Rik",54.8735579776997,1.18842674350879e-06,0.00144268882990121,0.584095682476821,0.999804568916862
"3110040N11Rik",312.291390874089,-4.6253849029849e-06,0.00144267201810942,0.2915725781003,0.999804568916862
"3110082I17Rik",504.570845486931,-4.54120630928209e-06,0.00144266566184584,0.350831497386625,0.999804568916862
"3830406C13Rik",1414.83720024512,6.98707727430903e-06,0.00144265069214419,0.378513193180506,0.999804568916862
"4833420G17Rik",1183.75818695857,6.36730607052964e-07,0.00144264149641147,0.919918808702042,0.999804568916862
"4833439L19Rik",2321.87615042077,5.31058966612506e-06,0.00144264851252335,0.384545603641447,0.999804568916862
"4921524J17Rik",1096.21041641702,3.50531903945465e-06,0.001442658219068,0.509608373661078,0.999804568916862
"4930402H24Rik",225.404687306156,4.12429692126465e-06,0.00144267653223823,0.295992745912933,0.999804568916862
"4930430F08Rik",140.040504417311,-4.35973961975238e-06,0.0014426847718892,0.163634497526775,0.999804568916862
"4930438A08Rik",1322.02256310137,6.37988196609785e-06,0.00144264992706892,0.299529916232512,0.999804568916862
"4930453N24Rik",961.457588065802,3.82133044390761e-06,0.00144265176757356,0.507530019935732,0.999804568916862
"4930579G24Rik",1314.76078693579,-1.12798380305626e-06,0.00144264022634214,0.856379232632306,0.999804568916862
"4931406C07Rik",128.63355504856,1.69721102883739e-06,0.00144268194420934,0.58985719267101,0.999804568916862
"4931406P16Rik",281.265787544992,2.56816377207627e-06,0.00144267218412291,0.538780103008497,0.999804568916862
"4931414P19Rik",109.456521715679,-3.07316538162927e-06,0.00144268590741728,0.270390759142107,0.999804568916862
"4932438A13Rik",2236.66313584142,2.23496191404137e-06,0.00144263041177299,0.746139933943085,0.999804568916862
"5031439G07Rik",1037.36250207876,-2.68648568454078e-07,0.00144266697664325,0.950958344863903,0.999804568916862
"5430427O19Rik",439.007504744587,9.44034472470205e-07,0.00144266606312788,0.838443352820799,0.999804568916862
"5730409E04Rik",9.66918655918411,-7.13541595231535e-09,0.00144269385167048,0.990775635566914,0.999804568916862
"5730455P16Rik",561.152022015925,5.07948108469874e-06,0.00144267074058793,0.266253307870319,0.999804568916862
"5730480H06Rik",208.248329390585,-2.60224651820866e-07,0.00144267802309946,0.938822038618454,0.999804568916862
"6030458C11Rik",1064.76974436092,1.64928805233587e-06,0.0014426468179395,0.782447545381897,0.999804568916862
"6430548M08Rik",243.106050129971,5.66095971184268e-07,0.00144267742523189,0.876098002192613,0.999804568916862
"8030462N17Rik",209.047202306792,6.03664776362339e-07,0.00144267450113423,0.877333714465072,0.999804568916862
"9130401M01Rik",276.062843252353,-2.46624929119e-06,0.00144267191629933,0.553433659245818,0.999804568916862
"9430015G10Rik",574.428574537347,-2.71774503279324e-07,0.00144266008375402,0.955223445447507,0.999804568916862
"9430038I01Rik",438.877739441246,9.39637639724196e-07,0.00144266390895854,0.844842671493582,0.999804568916862
"9530068E07Rik",5960.8905827412,5.00023191252538e-06,0.00144262675899254,0.490951464628944,0.999804568916862
