"Gene","Ribo_logFC","Ribo_padj","Input_logFC","Input_padj","TE_logFC","TE_padj","Group"
"Abracl",-0.209221428218205,0.518358889668125,0.541016995070332,0.211958292065489,-0.0614700899099248,0.366328898792801,"No change"
"Acaa2",-0.142513532646718,0.703016711448889,0.19522096276386,0.722796455988214,-0.0439425179696774,0.668448887038908,"No change"
"Acadl",0.0174799333719834,0.979087645991611,0.0399210745252506,0.954580158579215,-0.0049221051167764,0.977172383610709,"No change"
"Acap1",-0.0495166798837824,0.922520096684829,0.0845079382891161,0.902430316841136,-0.0202985163661612,0.901794253269926,"No change"
"Acap2",-0.0943021333717667,0.816497799001608,-0.282249497063297,0.576100476395455,0.0166904782660734,0.876463157844126,"No change"
"Acat1",-0.233623667523503,0.423611905997191,-0.105879867696288,0.875994429278027,-0.0143887567881414,0.935960366150317,"No change"
"Acbd3",-0.124381220718279,0.750767047720349,-0.134255604516285,0.827329538097809,0.000167045084077144,0.996088199625694,"No change"
"Acin1",-0.0869720169516708,0.815721619739952,-0.0457994319118246,0.945206223072128,-0.00518789787222597,0.978305438155726,"No change"
"Acly",0.063233547305868,0.89016873528645,0.0200177866806312,0.97949977469222,0.00185800692769979,0.989278581521037,"No change"
"Aco2",-0.892747580544528,0.00136222196063096,-0.258282527474991,0.591843914173408,-0.0485962256988709,0.64694031972851,"No change"
"Acot7",0.374987282984113,0.235734653770177,0.297182011778294,0.542854545423268,0.000515551782133486,0.994310177292099,"No change"
"Acot9",0.0770711627097942,0.864605520071384,0.153215544175984,0.802245576264812,-0.00851255091425551,0.962838999568908,"No change"
"Acsl1",0.0127624059197588,0.985378530512874,-0.0126817050972186,0.983700555358471,0.00139319588509792,0.99239598236864,"No change"
"Acsl5",0.0727625396042355,0.870579558540403,-0.133305140504502,0.827329538097809,0.0265155569561827,0.859517016772853,"No change"
"Actb",0.0084374340728047,0.991054821431315,0.152231940298075,0.804730519854305,-0.0191140698503912,0.891494627546609,"No change"
"Actg1",-0.0337548045412409,0.942703880237294,0.275006856174902,0.576100476395455,-0.0466890319814808,0.727043512926661,"No change"
"Actl6a",-0.155964667236736,0.656685731107344,-0.0630440188477363,0.92754349190547,-0.012278764289717,0.947943659320592,"No change"
"Actn4",-0.111266073503761,0.780639128411969,-0.08289336006904,0.903175396030891,-0.00275677647637116,0.98820310084634,"No change"
"Actr10",-0.0633762870217572,0.890639650398477,0.0387765076007048,0.953636556775261,-0.0145297042165005,0.926069066047058,"No change"
"Actr1a",-0.0333467955735641,0.949029057673091,-0.176598497751608,0.754647017334872,0.0163889169307093,0.916915343787211,"No change"
"Actr2",-0.0502758397665657,0.898210837537964,-0.06463727141187,0.925613595852607,0.00327634824488356,0.99239598236864,"No change"
"Actr3",-0.0321786785047662,0.942540554280817,0.0184774250725689,0.979308609419988,-0.0109594359153861,0.962838999568908,"No change"
"Adam10",-0.0203675799928648,0.972078824546122,-0.255281695152841,0.640184625961017,0.0184282456807391,0.859517016772853,"No change"
"Adam15",0.322952558554905,0.289840230192117,-0.214208533731117,0.696514100250932,0.0838917229935447,0.440565590034939,"No change"
"Adam17",0.124558886893671,0.742765803587891,-0.0539612810219248,0.936221518871583,0.0148659297315036,0.911030493656232,"No change"
"Adam8",-0.329132554766635,0.253943742632419,-0.371061177511622,0.425164143643865,0.00689954906639196,0.968392286718077,"No change"
"Adcy7",-0.00402947791517571,0.997236499173631,-0.109757253071026,0.870456456487339,0.011614318122417,0.947943659320592,"No change"
"Add1",0.389503717234261,0.148419048384769,0.0894660645080114,0.898985651868177,0.0208566587058106,0.869997832303225,"No change"
"Add3",1.02230987277421,7.79815558570575e-06,0.531432363698415,0.182001510021118,0.020720147089277,0.871071140510335,"No change"
"Adgre1",-0.889855134563483,0.000164207345681109,-0.811924299438515,0.0194572302212437,-0.00122552502116082,0.99239598236864,"Forwarded"
"Adgre5",-0.13141053447711,0.6928085758574,-0.131300959843782,0.830489369322219,0.0036108241106426,0.98251319161761,"No change"
"Adgrg3",-0.1288092870191,0.70503114018697,-0.400723259044632,0.297788974404592,0.0309870345954777,0.807599069914335,"No change"
