Gene,Ribo_logFC,Ribo_padj,Input_logFC,Input_padj,TE_logFC,TE_padj,Group
Eif3c,1.102348937,0.000125336,0.378917091,0.398665872,0.475657477,0.392378309,No change
Eif3d,0.059123303,0.865231897,0.241450836,0.618247124,-0.06259685,0.93825445,No change
Eif3e,0.196934492,0.494606865,0.613883516,0.177622223,-0.240180346,0.712321294,No change
Eif3f,0.082379597,0.803695072,0.89075914,0.081621205,-0.507745254,0.406052438,No change
Eif3g,-0.042875276,0.913305533,0.43621324,0.349570277,-0.457667318,0.438957,No change
Eif3h,-0.040130903,0.916377672,0.144461085,0.792003601,-0.182852999,0.793384271,No change
Eif3i,0.086270367,0.802350703,1.153632831,0.019249532,-0.764834753,0.200455221,No change
Eif3k,0.011969822,0.974812616,1.661501952,0.001400963,-1.475106447,0.024975648,Buffered (Special)
Eif3l,0.146184877,0.619139846,-0.06421272,0.910246131,0.315424549,0.607066909,No change
Eif3m,0.137862352,0.645888759,0.463185402,0.313653109,-0.169918835,0.809187943,No change
Eif4a1,0.411760716,0.176893778,-0.005063095,0.997654365,0.396958858,0.504009929,No change
Eif4a2,0.194525586,0.503026821,1.581954582,0.000840912,-1.023512002,0.074676743,No change
Eif4a3,0.061707542,0.86839123,0.133706335,0.799735898,-0.000382471,0.999930531,No change
Eif4b,0.144149738,0.638622005,1.267634958,0.003154711,-0.897900534,0.080942509,No change
Eif4e,0.042170291,0.914348922,-0.11620226,0.814182572,0.195122047,0.753565284,No change
Eif4e2,-0.052696935,0.882033862,-0.057296954,0.924378164,-0.03791446,0.961059718,No change
Eif4enif1,-0.049040306,0.890044003,0.142997994,0.787815878,-0.221627598,0.747077221,No change
Eif4g1,1.382255442,1.06E-05,0.152095851,0.759255948,1.064698466,0.039710123,Exclusive
Eif4g3,0.269863367,0.352837131,-0.189584125,0.68653117,0.59021987,0.250756064,No change
Eif4h,0.342143906,0.254905317,0.130492069,0.79691684,0.390441464,0.496125095,No change
Eif5,0.158733921,0.603309723,0.057996958,0.916876033,0.188993453,0.760616898,No change
Eif5a,0.207692285,0.471596608,0.537198439,0.247498786,-0.177382527,0.806972098,No change
Eif5b,1.442198961,8.05E-06,1.754575123,4.95E-05,-0.230440018,0.71684776,Forwarded
Eif6,0.0111126,0.975417628,0.661739305,0.17217619,-0.52715196,0.384357582,No change
Elac2,0.15213255,0.564872663,-1.755733558,0.000159291,2.252393639,0.000131181,Buffered (Special)
Elane,-0.011562914,0.974743669,0.187368486,0.714296923,-0.173499388,0.80909562,No change
Elavl1,0.129514339,0.666718382,0.162850821,0.735988919,0.097506181,0.888967581,No change
Elf1,-0.008060129,0.98207593,-0.004340573,0.998345865,-0.006055627,0.997708349,No change
Elf4,0.108798321,0.729409512,-0.930872942,0.045801571,1.180564855,0.04792068,Buffered (Special)
Elmo1,0.19810039,0.469409857,-0.445509042,0.334118496,0.835304985,0.156461964,No change
Elmo2,0.118689783,0.694301328,-1.142362343,0.009043465,1.448140661,0.008877927,Buffered (Special)
Eloa,0.133170225,0.656304521,-0.904424981,0.039714256,1.200993227,0.031411671,Buffered (Special)
Elovl5,-0.034077013,0.916377672,-0.370551544,0.416832541,0.225400474,0.736285958,No change
Elp1,1.319845189,0.001424297,-0.06014591,0.914029225,1.31726475,0.02533298,Exclusive
Elp2,0.324574847,0.273119406,-0.398226103,0.348878923,0.977514642,0.086212089,No change
Elp3,0.125471598,0.666718382,-0.256210182,0.591871171,0.498496302,0.392378309,No change
Emb,0.066327271,0.865231897,-0.582368159,0.165598941,0.677488668,0.193450904,No change
Emc1,0.008964903,0.979339781,-0.060289114,0.920113307,0.078861189,0.918858019,No change
Emc2,0.117205817,0.707731208,0.291165517,0.540528903,-0.051069663,0.946343666,No change
Emc3,-0.147822604,0.554884113,-0.151691994,0.757217581,-0.219249684,0.740541834,No change
Emc7,-0.106118639,0.733743258,0.454058851,0.296984289,-0.6680634,0.219902925,No change
Emd,0.02991851,0.928215673,-0.242301579,0.621941865,0.28863574,0.645870823,No change
Emg1,-0.022046049,0.954090109,1.504378065,0.000785761,-1.481465295,0.010190706,Buffered (Special)
Emilin1,-0.183232964,0.5194328,-1.460227871,0.000499044,0.962952686,0.06375191,No change
Emilin2,-0.072472037,0.837972484,-0.192528253,0.691906883,0.048630475,0.949044803,No change
Eml2,-0.028429046,0.92525908,-0.544082675,0.233463469,0.354929211,0.562963806,No change
Eml3,-0.036532962,0.916377672,-0.302924121,0.524442317,0.181867945,0.790381325,No change
Eml4,0.093766138,0.76885129,0.064749425,0.913423673,0.118896089,0.8740456,No change
Eml5,-0.036571378,0.916377672,-0.431668061,0.346181106,0.289724897,0.645974728,No change
Eno1,0.420121974,0.197817688,-0.388430686,0.426298034,1.027531556,0.11427401,No change
Enoph1,-0.01459341,0.965634518,0.085661252,0.878417808,-0.102748724,0.89127307,No change
Entpd1,-0.128173013,0.616767971,-1.329895159,0.003144837,0.669125288,0.257256256,No change
Ep300,0.175799552,0.552347488,0.84657028,0.054413118,-0.434477275,0.44254972,No change
Ep400,0.728622658,0.026259335,1.028515094,0.029576514,-0.192273056,0.781272782,Forwarded
Epb41,0.050788697,0.891829842,-0.839715699,0.067121569,0.924979763,0.113098959,No change
Epb41l2,0.18073071,0.502060218,0.021364036,0.975369551,0.304530511,0.62793305,No change
Epn1,-0.01254301,0.969358708,0.747179878,0.077777067,-0.691098047,0.210808441,No change
Eprs,0.952313755,0.003443089,0.027671617,0.965132897,0.842614225,0.105525812,No change
Eps15,-0.009170781,0.979339781,-0.068037422,0.903312693,0.059047473,0.938563958,No change
Eps15l1,0.036912553,0.918155,-1.447211035,0.00182002,1.533464489,0.00763431,Buffered (Special)
Epsti1,0.022062158,0.95240628,0.232592716,0.622988158,-0.136097093,0.846961164,No change
Epx,0.038971899,0.531597696,-0.061296886,0.719481804,0.219432178,0.319105153,No change
Erap1,-0.029374557,0.939664452,0.040548804,0.946755224,-0.076598145,0.920503546,No change
