"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"BP_liver_development%0001889",0.650793650793651,0.973364800044193,-0.29170071006933,-0.886351339671958,491,50,"ACADM;HP;NOTCH2;UGT1A7C;SMARCA4;ASS1;CITED2;ACO2;HNRNPD;TAF10;UPF2;LIPA;PRKCSH;CDK5RAP3;ZMPSTE24;DUT;ACAT1"
"BP_cellular_response_to_epidermal_growth_factor_stimulus%0071364",0.584415584415584,0.973364800044193,0.293453434914773,0.906752514486741,179,25,"ZFP36L2;PTPN11;PDPK1"
"BP_positive_regulation_of_cell_cycle%0045787",0.69037037037037,0.973364800044193,-0.319323673369531,-0.834328709342771,465,21,"RPS15A;BARD1;CITED2;BIRC5;CHEK1"
"BP_positive_regulation_of_substrate_adhesion-dependent_cell_spreading%1900026",0.70096463022508,0.973364800044193,0.280917399804067,0.85552568755826,217,23,"CRK;UNC13D;CRKL;PREX1;BRAF;CIB1;NEDD9;DNM2;LIMS1;RREB1;ABL1;CALR"
"BP_positive_regulation_of_epithelial_cell_migration%0010634",0.705972434915773,0.973364800044193,-0.339680420389342,-0.82620823632565,460,16,"CTSH;RTN4"
"BP_neurogenesis%0022008",0.629470672389127,0.973364800044193,-0.321496933922798,-0.893602151495782,439,30,"NDUFS2;CXCR4;CLN5;ANKRD11;SMARCA4"
"BP_negative_regulation_of_neuron_apoptotic_process%0043524",0.65211970074813,0.973364800044193,-0.282039836128108,-0.900798244342253,522,62,"MSH2;SOD1;HSPD1;GRN;PRDX2;NPM1;LRP1;TMBIM4;UBE2V2;KIF14;FBXO7;BIRC5;APOE;HSP90AB1;CLN3;SIRT1;CORO1A"
"BP_neuromuscular_process_controlling_balance%0050885",0.619738751814224,0.973364800044193,-0.336506719355723,-0.89197976268894,426,22,"PSAP;HEXA;AP1S2;GIGYF2;VPS13A;NBN;CLN3;MYO5A"
"BP_energy_homeostasis%0097009",0.64424514200299,0.973364800044193,-0.339213174387098,-0.865836370106265,430,19,"PRCP;OMA1;EIF4G1;RRP8;SQSTM1;LIPA;SIRT1"
"BP_regulation_of_autophagy%0010506",0.636494252873563,0.973364800044193,-0.330810344115376,-0.899941181667506,442,26,"CASP1;PYCARD;RAB8A;CHMP4B;CISD2;CLN3;ZMPSTE24"
