pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
RA_Nonsense_Mediated_Decay_(NMD)_independent_of_the_Exon_Junction_Complex_(EJC)%R-MMU-975956,0.001420455,0.031309087,-0.872051052,-2.559832152,0,68,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;RPL23A;RPS18;NCBP2;RPS3;PABPC1;RPS11
RA_Formation_of_a_pool_of_free_40S_subunits%R-MMU-72689,0.001414427,0.031309087,-0.87243034,-2.585815526,0,73,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;RPL23A;RPS18
RA_SRP-dependent_cotranslational_protein_targeting_to_membrane%R-MMU-1799339,0.001430615,0.031309087,-0.889222934,-2.576630586,0,64,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;SRP9;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;SRP14;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;RPL23A;RPS18
KEGG_Spliceosome%mmu03040,0.00130719,0.034321373,-0.526754566,-1.677672354,0,119,SNRPF;RBM8A;SNRPD1;LSM7;SNRPE;DDX23;RP9;LSM5;LSM4;TRA2A;MAGOH;LSM8;SF3B6;LSM6;SNRNP27;SNRPD3;SNRPD2;ZMAT2;BCAS2;MAGOHB;SNRPG;BUD31;SNRPB2;LSM3;PHF5A;U2AF1;SRSF9;CWC15;CCDC12;ACIN1;SYF2;PRPF38B;NCBP2;ISY1;SNRNP70
KEGG_Chemical_carcinogenesis%mmu05208,0.00128866,0.034321373,-0.657641902,-2.142513293,0,151,NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;COX6C;SOD1;NDUFB8;NDUFB10;NDUFA4;ATP5G3;NDUFA13;NDUFS5;NDUFB11;COX4I1;COX6B1;COX5B;COX8A;COX6A1;UQCRB;ATP5H;COX5A;NDUFB9;COX6B2;NDUFA11;NDUFB6;COX7A2;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX7B;NDUFB5;CYBA;UQCR10;NDUFC1;ATP5E;FOXO3;NDUFS7;NDUFA7;NDUFA12;ATP5J;MGST1;NDUFA8;ATP5D;ATP5G1;NDUFAB1;SOD2;NDUFV3;GSTT2;FOS;NFKBIA;NDUFV2
KEGG_Parkinson_disease%mmu05012,0.001257862,0.034321373,-0.677599763,-2.256078086,0,182,NDUFA5;SEM1;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;RPS27A;COX6C;SOD1;NDUFB8;NDUFB10;TXN1;NDUFA4;ATP5G3;NDUFA13;NDUFS5;NDUFB11;COX4I1;COX6B1;COX5B;COX8A;COX6A1;UQCRB;ATP5H;COX5A;NDUFB9;COX6B2;NDUFA11;NDUFB6;COX7A2;NDUFS4;NDUFA6;NDUFC2;BAX;NDUFB2;SLC39A1;COX7B;NDUFB5;UQCR10;NDUFC1;ATP5E;PSMB5;NDUFS7;PSMB4;NDUFA7;NDUFA12;ATP5J;PSMB6;NDUFA8;PSMA7;PARK7;PSMD9;CALM3;CALML4;ATP5D;PSMB1;ATP5G1;NDUFAB1;NDUFV3;TUBB5;PSMA3;NDUFV2;PSMA6
KEGG_Diabetic_cardiomyopathy%mmu05415,0.00130039,0.034321373,-0.689999236,-2.220527611,0,135,NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;COX6C;NDUFB8;NDUFB10;NDUFA4;ATP5G3;NDUFA13;NDUFS5;NDUFB11;COX4I1;COX6B1;COX5B;COX8A;COX6A1;UQCRB;ATP5H;COX5A;NDUFB9;COX6B2;NDUFA11;NDUFB6;COX7A2;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX7B;NDUFB5;CYBA;UQCR10;NDUFC1;ATP5E;NDUFS7;NDUFA7;NDUFA12;ATP5J;NDUFA8;MPC2
KEGG_Prion_disease%mmu05020,0.001262626,0.034321373,-0.693865966,-2.301781025,0,178,NDUFA5;SEM1;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;COX6C;SOD1;NDUFB8;NDUFB10;NDUFA4;ATP5G3;NDUFA13;NDUFS5;NDUFB11;COX4I1;COX6B1;COX5B;COX8A;COX6A1;UQCRB;ATP5H;COX5A;NDUFB9;COX6B2;NDUFA11;NDUFB6;COX7A2;NDUFS4;NDUFA6;NDUFC2;BAX;NDUFB2;COX7B;NDUFB5;CYBA;UQCR10;NDUFC1;ATP5E;PSMB5;NDUFS7;PSMB4;NDUFA7;NDUFA12;ATP5J;PSMB6;NDUFA8;PSMA7;PSMD9;ATP5D;PSMB1;ATP5G1;NOTCH1;NDUFAB1;NDUFV3;TUBB5;CSNK2A2;PSMA3;NDUFV2;PSMA6;SLC25A4;BAD;C1QB;PSMA2;PSMD13;ATF4;ATP5O;PSMC5;C1QC;PSMD7
KEGG_Thermogenesis%mmu04714,0.00128866,0.034321373,-0.706401385,-2.303712488,0,152,NDUFA5;ATP5K;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;ATP5L;NDUFS6;COX6C;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;ATP5G3;NDUFA13;NDUFS5;NDUFB11;COX4I1;ATP5J2;COX6B1;COX5B;COX8A;COX20;COX6A1;UQCRB;ATP5H;COX5A;NDUFB9;COX6B2;NDUFA11;NPR1;NDUFB6;ACTB;COX7A2;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;ATP5E;RPS6;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;ATP5J;NDUFA8
KEGG_Non-alcoholic_fatty_liver_disease%mmu04932,0.00130719,0.034321373,-0.725619185,-2.296989884,0,111,NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;COX6C;NDUFB8;NDUFB10;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;COX6B1;COX5B;COX8A;COX6A1;UQCRB;COX5A;NDUFB9;COX6B2;NDUFA11;NDUFB6;COX7A2;NDUFS4;NDUFA6;NDUFC2;BAX;NDUFB2;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFA7;NDUFA12;NDUFA8
