"Gene","Ribo_logFC","Ribo_padj","Input_logFC","Input_padj","TE_logFC","TE_padj","Group"
"2210016L21Rik",-1.8251293523328e-06,0.999991806526935,-1.74280247568637e-06,0.999804568916862,-9.84999713078154e-07,0.999856529260043,"No change"
"2310009A05Rik",3.41555643002137e-07,0.999991806526935,-2.36293106508073e-06,0.999804568916862,1.61985368291067e-06,0.999856529260043,"No change"
"2310022A10Rik",-1.79214564542462e-06,0.999991806526935,1.86189687147114e-06,0.999804568916862,-3.17268290682829e-06,0.999856529260043,"No change"
"2310022B05Rik",-1.80753841286421e-07,0.999991806526935,-1.15320214632103e-06,0.999804568916862,2.11265015848502e-08,0.999856529260043,"No change"
"2310033P09Rik",1.95422871779695e-06,0.999991806526935,-7.18591458463813e-07,0.999804568916862,2.46128657899465e-06,0.999856529260043,"No change"
"2310057M21Rik",4.1694495320127e-08,0.999991806526935,-1.33957204506497e-06,0.999804568916862,3.57257675928265e-07,0.999856529260043,"No change"
"2310061I04Rik",-2.26652083928476e-08,0.999991806526935,-4.41283269815875e-06,0.999804568916862,8.87421884999417e-07,0.999856529260043,"No change"
"2410002F23Rik",-2.25693437312838e-06,0.999991806526935,3.2474614782467e-06,0.999804568916862,-4.36114262012768e-06,0.999856529260043,"No change"
"2410004B18Rik",-1.99970638729388e-06,0.999991806526935,-1.92697263046164e-06,0.999804568916862,-1.37994125661331e-06,0.999856529260043,"No change"
"2510039O18Rik",-3.19444096430234e-06,0.999991806526935,-9.78952593582577e-07,0.999804568916862,-3.10648585721635e-06,0.999856529260043,"No change"
"2610001J05Rik",7.14513848755332e-07,0.999991806526935,1.08733501313181e-06,0.999804568916862,1.53457176026795e-06,0.999856529260043,"No change"
"2610002M06Rik",3.65206786869543e-07,0.999991806526935,5.62632350097861e-06,0.999804568916862,-1.32419964678718e-06,0.999856529260043,"No change"
"2610008E11Rik",-4.77625003407337e-07,0.999991806526935,3.19705162664387e-06,0.999804568916862,-1.4875832990617e-06,0.999856529260043,"No change"
"2610021A01Rik",-1.50604531291008e-08,0.999991806526935,-1.08019588546389e-06,0.999804568916862,3.79106545094144e-07,0.999856529260043,"No change"
"2610507B11Rik",-4.99154491213841e-06,0.999991806526935,3.10272057152843e-06,0.999804568916862,-5.17951623577779e-06,0.999856529260043,"No change"
"2700049A03Rik",1.9676395134445e-06,0.999991806526935,3.09151963994875e-06,0.999804568916862,1.33277885170197e-06,0.999856529260043,"No change"
"2700097O09Rik",1.57936068748258e-06,0.999991806526935,-1.2150099163052e-06,0.999804568916862,2.54921940032234e-06,0.999856529260043,"No change"
"2810004N23Rik",-5.6817600430979e-07,0.999991806526935,-5.12124863331711e-06,0.999804568916862,1.28198249007257e-06,0.999856529260043,"No change"
"2810006K23Rik",-7.88003482216601e-07,0.999991806526935,7.62836631775671e-08,0.999804568916862,-8.1258244805347e-07,0.999856529260043,"No change"
"3110009E18Rik",-4.75182193468876e-07,0.999991806526935,1.18842674350879e-06,0.999804568916862,-5.97145072889972e-06,0.999856529260043,"No change"
"3110040N11Rik",1.02266809180543e-06,0.999991806526935,-4.6253849029849e-06,0.999804568916862,2.77156840062696e-06,0.999856529260043,"No change"
