,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Abt1,123.6919469,-0.48831139,0.515954798,-0.946422811,0.343932975,NA
Abtb1,229.7976691,-0.585213967,0.417304324,-1.402367371,0.160805572,NA
Abtb2,9.6694222,0.507213221,1.510467798,0.335798765,0.737022622,NA
Acaa1a,180.4362845,0.090934449,0.474009215,0.1918411,0.847866676,NA
Acaa1b,0.768323008,1.392175391,4.116159161,0.338221953,0.735195933,NA
Acaa2,538.7141186,-0.597483999,0.34258159,-1.74406336,0.081148042,0.695290264
Acaca,215.5638705,-0.283018979,0.399645499,-0.70817507,0.478836546,NA
Acacb,18.87643852,0.620459094,0.965137906,0.642870921,0.52030786,NA
Acad10,22.32860243,-1.210836943,0.989482679,-1.223707063,0.221062754,NA
Acad11,115.1459195,0.088210076,0.57066041,0.154575426,0.877156044,NA
Acad12,14.7602496,-0.560672452,1.436496776,-0.390305402,0.696310729,NA
Acad8,228.3061632,-0.158626037,0.401384513,-0.395197204,0.692697356,NA
Acad9,282.9362414,-0.584530868,0.354206671,-1.650253695,0.098891059,0.728410142
Acadl,851.1101498,-0.077484785,0.308939208,-0.250809166,0.801961655,0.979879354
Acadm,409.2114388,-0.694366109,0.325208912,-2.135138624,0.032749689,0.562851692
Acads,279.3389802,-0.30576806,0.368917821,-0.828824316,0.407203827,0.883212899
Acadsb,325.3904098,0.148048473,0.402056911,0.368227654,0.712703492,0.961566475
Acadvl,390.6860584,-0.531896161,0.321997791,-1.651862766,0.09856253,0.728410142
Acan,0,NA,NA,NA,NA,NA
Acap1,484.8389581,-0.264211416,0.32070321,-0.823850238,0.410024658,0.883212899
Acap2,443.4402058,0.483463425,0.439921506,1.098976564,0.271778289,0.846676756
Acap3,129.4478603,0.141494946,0.472149524,0.299682492,0.764419354,NA
Acat1,946.5199704,-0.225599926,0.28816323,-0.782889359,0.433692087,0.887485625
Acat2,91.88399754,-0.418084559,0.945907838,-0.441992911,0.658494335,NA
Acat3,0.508985989,1.362795303,5.005270249,0.272272072,0.785412828,NA
Acbd3,511.6235005,0.056626868,0.332816303,0.170144512,0.864896488,0.983183142
Acbd4,23.01997192,1.171115014,1.013023656,1.156058901,0.247657065,NA
Acbd5,291.1845064,0.005277796,0.37552277,0.01405453,0.988786476,0.998788966
Acbd6,93.80185842,-0.891309125,0.546613601,-1.630601806,0.102974368,NA
Acbd7,0,NA,NA,NA,NA,NA
Accs,68.62145293,0.92713819,0.564062636,1.643679498,0.100242423,NA
Accsl,0,NA,NA,NA,NA,NA
Acd,88.09016809,-0.557399135,0.605225809,-0.920977141,0.357062362,NA
Ace,21.06596489,0.146073553,0.97295189,0.150134405,0.880658576,NA
Ace2,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
Ace3,0,NA,NA,NA,NA,NA
Acer1,0.262592175,-3.139349712,6.954245268,-0.451429248,0.651680207,NA
Acer2,2.450354018,-0.97935,2.999762787,-0.326475815,0.744064385,NA
Acer3,348.24041,0.124690535,0.373688779,0.333674818,0.738624954,0.973715936
Ache,0.194336035,0.36316294,6.904196048,0.052600323,0.95805036,NA
Acin1,1039.3821,0.036932974,0.279402196,0.132185695,0.894837415,0.987181713
Ackr1,0.545398552,-3.245706405,5.541736185,-0.585684034,0.558087865,NA
Ackr2,0.591918293,2.990155275,5.17064266,0.578294706,0.563065168,NA
Ackr3,0.053123404,1.548894762,6.993198679,0.22148588,0.82471413,NA
Ackr4,2.601584292,-4.957272803,2.485843293,-1.994201652,0.046130022,NA
Acly,979.0997488,3.66689221618062e-05,0.378110851,9.69792908588488e-05,0.999922622,0.999922622
Acmsd,0.225058922,0.737370497,6.895319544,0.106937828,0.914838303,NA
Acnat1,0.488031856,-0.631351633,5.089598016,-0.124047446,0.901277709,NA
Acnat2,0,NA,NA,NA,NA,NA
Aco1,115.6215991,-0.194964122,0.553508233,-0.352233464,0.724663182,NA
Aco2,594.5861263,-0.617158424,0.316693464,-1.948756431,0.051324519,0.623602446
Acod1,0.500261886,-1.569817507,6.429335771,-0.244164804,0.807103185,NA
Acot1,20.40425394,-1.276218488,1.172132889,-1.088800169,0.276242017,NA
Acot10,0.216866954,-1.609319283,6.893093521,-0.233468366,0.815397731,NA
Acot11,49.13257758,0.122116036,0.636173606,0.191953949,0.847778278,NA
Acot12,0,NA,NA,NA,NA,NA
Acot13,177.7485162,0.190534176,0.410459607,0.46419714,0.64250651,NA
Acot2,24.81385814,0.127971778,0.971613603,0.131710567,0.895213227,NA
Acot3,0.054407118,-0.670179936,7.034394423,-0.095271873,0.924098883,NA
Acot4,2.672303173,0.972946088,2.933264311,0.331693971,0.740120354,NA
Acot5,0.025729465,0.535266972,7.06555854,0.075757206,0.939612263,NA
Acot6,17.44379265,1.205432023,1.039529748,1.159593581,0.246214316,NA
Acot7,423.0584981,0.09412639,0.418149145,0.225102433,0.821899588,0.98123964
Acot8,103.2430411,-0.514113683,0.505445286,-1.01715002,0.309082068,NA
Acot9,422.7485926,-0.145922348,0.33688926,-0.433146333,0.664908464,0.949800877
Acox1,135.8221017,0.35689199,0.451343078,0.790733275,0.429099654,NA
Acox2,0,NA,NA,NA,NA,NA
Acox3,166.7092426,0.325220808,0.461902684,0.704089452,0.481377068,NA
Acoxl,0.908470016,3.527947494,4.123985001,0.855470496,0.392290731,NA
Acp1,251.6310599,-0.424601633,0.448606781,-0.946489555,0.343898947,NA
Acp2,146.6501482,-0.006371857,0.523550818,-0.012170466,0.990289613,NA
Acp4,0,NA,NA,NA,NA,NA
Acp5,66.10184937,-0.058667033,0.683709113,-0.085807008,0.931619835,NA
Acp6,123.236238,0.141697963,0.479580697,0.295462191,0.767640831,NA
Acp7,0,NA,NA,NA,NA,NA
Acpp,208.5534076,0.401901504,0.552621114,0.727264112,0.467064178,NA
Acr,0.025729465,0.535266972,7.06555854,0.075757206,0.939612263,NA
Acrbp,11.4275415,0.041508472,1.332595417,0.031148593,0.975151037,NA
Acrv1,0,NA,NA,NA,NA,NA
Acsbg1,6.292969182,-0.969065049,1.641793284,-0.590247906,0.555024459,NA
Acsbg2,0.025729465,0.535266972,7.06555854,0.075757206,0.939612263,NA
Acsf2,46.48278095,-0.872054961,0.679555877,-1.2832719,0.199396834,NA
Acsf3,66.77977311,0.03680843,0.555459755,0.066266601,0.947165574,NA
Acsl1,673.6602722,0.052216651,0.338777339,0.154132656,0.87750514,0.983183142
Acsl3,114.425478,0.520935002,0.486377592,1.071050579,0.284146688,NA
Acsl4,173.2262841,0.285471387,0.403304846,0.707830293,0.479050652,NA
Acsl5,934.7735802,0.293833845,0.297179827,0.988740885,0.322789934,0.855498971
Acsl6,2.089119696,-1.078893383,2.770803152,-0.389379297,0.696995585,NA
Acsm1,0,NA,NA,NA,NA,NA
Acsm2,0.027013179,-2.145274832,7.038296394,-0.304800297,0.760518255,NA
Acsm3,0.054787878,1.589517048,6.991133444,0.227361852,0.820142381,NA
Acsm4,0,NA,NA,NA,NA,NA
Acsm5,0.464359014,-0.954647865,6.543505873,-0.145892414,0.884006321,NA
Acss1,168.6503495,-0.024989264,0.423045733,-0.059069888,0.952896442,NA
Acss2,39.67822771,-0.92712487,0.677403046,-1.368645854,0.171110003,NA
Acss3,0,NA,NA,NA,NA,NA
Acta1,5.328884241,-4.85629769,2.028377024,-2.394179008,0.016657617,NA
Acta2,31.64698741,0.340952175,0.924780909,0.368684271,0.712363074,NA
Actb,5011.083494,-0.34658721,0.37736549,-0.918439071,0.358389043,0.869507211
Actbl2,0.398135629,-2.316537987,7.064685783,-0.327903895,0.742984328,NA
Actc1,0.408843711,0.536390636,7.065686652,0.075914863,0.939486832,NA
Acte1,0,NA,NA,NA,NA,NA
Actg1,4269.251537,-0.493533871,0.313792426,-1.572803646,0.115764291,0.745270712
Actg2,0.025729465,0.535266972,7.06555854,0.075757206,0.939612263,NA
Actl10,0.109194996,0.92451272,6.937635084,0.1332605,0.893987365,NA
Actl11,0,NA,NA,NA,NA,NA
Actl6a,560.6903681,-0.121075988,0.3064203,-0.395130439,0.692746626,0.958730225
Actl6b,0.080136583,0.297730466,6.964002871,0.042752778,0.965898608,NA
Actl7a,0,NA,NA,NA,NA,NA
Actl7b,0.408843711,0.536390636,7.065686652,0.075914863,0.939486832,NA
Actl9,0,NA,NA,NA,NA,NA
Actn1,80.77787,-0.183194469,0.58809048,-0.311507286,0.755415005,NA
Actn2,0.082181817,2.175676278,6.966941378,0.312285716,0.754823394,NA
Actn3,1.231010364,-0.407872728,3.892943022,-0.104772334,0.916556463,NA
Actn4,915.8854095,-0.025452745,0.355956969,-0.071505119,0.942995751,0.996057868
Actr10,440.5373068,-0.259703342,0.32465381,-0.799939301,0.423745966,0.883212899
Actr1a,505.2425453,0.229897115,0.298001867,0.771461995,0.440433141,0.888357315
Actr1b,156.0079274,0.068123407,0.427010084,0.159535828,0.873246733,NA
Actr2,3782.16467,0.01172296,0.236515334,0.049565327,0.960468777,0.996288112
Actr3,5506.238818,-0.097173753,0.23585189,-0.412011764,0.680330801,0.952528744
Actr3b,3.658338641,-0.278576359,2.282330277,-0.122057864,0.902853192,NA
Actr5,142.6199289,-0.304782687,0.422713326,-0.721015091,0.47090023,NA
Actr6,233.0414126,-0.439333993,0.365710768,-1.201315442,0.229628863,NA
Actr8,184.7714134,-0.445130935,0.417595711,-1.065937515,0.286451889,NA
